origin,title,link,pubDate,description
Fintech News | TechCrunch,Indian parliamentary panel red-flags PhonePe and Google Pay cornering 83% of India’s UPI payments,https://techcrunch.com/2024/02/08/indian-parliamentary-panel-red-flags-phonepe-and-google-pay-cornering-83-of-india-upi-payments/,"Fri, 09 Feb 2024 04:12:01 +0000","<p>An Indian parliamentary panel has urged the government to support the growth of domestic fintech players that can provide alternatives to the Walmart-backed PhonePe and Google Pay apps that currently command more than 83% of the country&#8217;s fast-growing digital payments market. The 58-page report, which includes a series of recommendations, comes at a time when [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Here are the fintech startups that could go public in 2024,https://techcrunch.com/2024/02/08/here-are-the-fintech-startups-that-could-go-public-in-2024/,"Fri, 09 Feb 2024 01:30:55 +0000","<p>Could 2024 be the year for fintech IPOs? Quite possibly, according to F-Prime Capital’s State of Fintech 2024 report. F-Prime &#8212; a VC firm with over $4.5 billion in assets under management that tracks the performance of emerging, publicly traded and privately held financial technology companies &#8212; naturally remains bullish on the fintech space, noting that: [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,PayPal suggests it will be ready to offer ‘offline’ payments when DMA goes into effect,https://techcrunch.com/2024/02/08/paypal-suggests-it-will-be-ready-to-offer-offline-payments-when-dma-goes-into-effect/,"Thu, 08 Feb 2024 16:35:14 +0000","<p>PayPal is working on a new consumer app for its mobile customers, and suggested that it will be &#8220;ready&#8221; to take advantage of the new EU regulation, the Digital Markets Act (DMA), when it goes into effect next month for tech &#8220;gatekeepers,&#8221; like Apple. For PayPal, one of the significant changes coming in the DMA [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,"Plaid’s new president hails from Cloudflare, has IPO experience",https://techcrunch.com/2024/02/08/plaids-new-president-hails-from-cloudflare-has-ipo-experience/,"Thu, 08 Feb 2024 15:41:09 +0000","<p>Plaid has named Jennifer (Jen) Taylor, who most recently served as Cloudflare’s chief product officer, as its first president. The move is notable in that it comes just months after the fintech startup hired former Expedia CFO Eric Hart to serve as its first chief financial officer. The hiring of a CFO is a step [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Indian central bank defends ‘proportionate’ action on Paytm,https://techcrunch.com/2024/02/07/indian-central-bank-defends-proportionate-action-on-paytm/,"Thu, 08 Feb 2024 07:50:58 +0000","<p>India&#8217;s central bank said Thursday it takes supervisory actions and imposes business restrictions only after &#8220;persistent non-compliance&#8221; with rules, its first comment after a clampdown on Paytm last week has posed existential questions about the future of the leading financial services firm. Shaktikanta Das, the Reserve Bank of India (RBI) governor, said the central bank [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,SUMA Wealth grabs $2.2M as its financial platforms reach 1M users,https://techcrunch.com/2024/02/06/suma-wealth-2-2m-financial-app-latinos/,"Tue, 06 Feb 2024 16:00:01 +0000","<p>SUMA Wealth’s platforms have seen 62% annual user growth, while revenue increased nearly five times in the past year.</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,"Finally, now with $10M, adds AI for better insight into small business accounting",https://techcrunch.com/2024/02/06/finally-10m-ai-small-business-accounting-fintech/,"Tue, 06 Feb 2024 13:59:15 +0000","<p>In the last year, the company introduced an artificial intelligence-powered ledger, offered business banking functions and built a new version of its bookkeeping app.</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,India’s CRED to acquire mutual fund startup Kuvera in wealth management push,https://techcrunch.com/2024/02/06/cred-acquires-mutual-fund-startup-kuvera-in-wealth-management-push/,"Tue, 06 Feb 2024 09:04:42 +0000","<p>Indian fintech startup CRED has reached an agreement to buy mutual fund and stock investment platform Kuvera as part of an expansion into wealth management. The $6.4 billion Bengaluru-headquartered startup said it was attracted by Kuvera’s experienced team and expertise in enabling customers to invest directly in mutual funds and stocks with advisory and tracking [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,Jio Financial says not in talks to acquire Paytm’s wallet business,https://techcrunch.com/2024/02/05/jio-financial-services-says-not-in-talks-to-acquire-paytm-wallet-business/,"Mon, 05 Feb 2024 17:39:24 +0000","<p>Reliance Industries spinoff Jio Financial Services said Monday evening that it is not negotiating with Paytm to acquire its wallet business, quashing &#8220;speculative&#8221; media reports as the Noida-headquartered firm scrambles to put out a fire from the central bank&#8217;s clampdown last week. The Hindu Business Line reported over the weekend that Paytm and Jio Financial [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
Fintech News | TechCrunch,India’s Paytm is in flux,https://techcrunch.com/2024/02/04/paytm-is-in-flux/,"Mon, 05 Feb 2024 03:43:06 +0000","<p>Shares of Paytm plunged 10% on Monday, the third consecutive session of declines, touching an all-time low of 438.35 Indian rupees (or $5.28) after the RBI&#8217;s clampdown last week looks to have had a more extensive impact than previously anticipated. The trading was halted after Paytm&#8217;s shares fell 10%, the artificial limit put on its [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>
"
